"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-consistentietypes",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-consistentietypes","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-consistentietypes","nl",,,,"Dataset codelijst consistentietypes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-consistentietypes",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst consistentietypes","omg_conceptscheme:consistentietypes","Codelijst consistentietypes",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-consistentietypes.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-consistentietypes.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-consistentietypes.0.1.0","nl",,"omg_dataset:codelijst-consistentietypes",,"Dataset codelijst consistentietypes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-consistentietypes.0.1.0","2023-07-27","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst consistentietypes","omg_conceptscheme:consistentietypes","Codelijst consistentietypes (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-consistentietypes.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_csv|omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_jsonld|omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_rdf|omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_ttl|omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-consistentietypes.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes_csv",,,,,,"Codelijst consistentietypes, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_csv","2023-07-27",,,,"ovo:OVO003751",,"Codelijst consistentietypes in text/csv formaat.",,"Codelijst consistentietypes, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-consistentietypes.0.1.0.consistentietypes_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-consistentietypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes_jsonld",,,,,,"Codelijst consistentietypes, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_jsonld","2023-07-27",,,,"ovo:OVO003751",,"Codelijst consistentietypes in jsonld rdf-formaat.",,"Codelijst consistentietypes, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-consistentietypes.0.1.0.consistentietypes_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-consistentietypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes_rdf",,,,,,"Codelijst consistentietypes, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_rdf","2023-07-27",,,,"ovo:OVO003751",,"Codelijst consistentietypes in xml rdf-formaat.",,"Codelijst consistentietypes, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-consistentietypes.0.1.0.consistentietypes_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-consistentietypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes_ttl",,,,,,"Codelijst consistentietypes, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_ttl","2023-07-27",,,,"ovo:OVO003751",,"Codelijst consistentietypes in Turtle rdf-formaat.",,"Codelijst consistentietypes, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-consistentietypes.0.1.0.consistentietypes_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-consistentietypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes_xsd",,,,,,"Codelijst consistentietypes, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-consistentietypes.0.1.0.consistentietypes_xsd","2023-07-27",,,,"ovo:OVO003751",,"Codelijst consistentietypes in xml/xsd formaat.",,"Codelijst consistentietypes, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-consistentietypes.0.1.0.consistentietypes_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-consistentietypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-consistentietypes.0.1.0.consistentietypes.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-consistentietypes.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-consistentietypes.0.1.0",,,,,,"Codelijst consistentietypes, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-consistentietypes.0.1.0","2023-07-27",,,,"ovo:OVO003751",,"Codelijst consistentietypes in jar-formaat.",,"Package codelijst-consistentietypes",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-consistentietypes/0.1.0/codelijst-consistentietypes-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-consistentietypes/0.1.0/codelijst-consistentietypes-0.1.0.jar","codelijst-consistentietypes-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-consistentietypes","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-consistentietypes.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-consistentietypes.0.1.1","nl",,"omg_dataset:codelijst-consistentietypes",,"Dataset codelijst consistentietypes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-consistentietypes.0.1.1","2023-09-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst consistentietypes","omg_conceptscheme:consistentietypes","Codelijst consistentietypes (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-consistentietypes.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-consistentietypes.0.1.1.consistentietypes_csv|omg_distribution:codelijst-consistentietypes.0.1.1.consistentietypes_jsonld|omg_distribution:codelijst-consistentietypes.0.1.1.consistentietypes_rdf|omg_distribution:codelijst-consistentietypes.0.1.1.consistentietypes_ttl|omg_distribution:codelijst-consistentietypes.0.1.1.consistentietypes_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-consistentietypes.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
